id,temp_outdoor,humidity,insulation,heating_type,occupancy,floor_area,wall_thickness,roof_age,window_age,basement_depth,garden_size,solar_irradiance,wind_exposure,air_quality_index,street_noise_db,construction_year,energy_consumption
10650,14.539571442963672,,medium,gas,2,,19.250735131025685,10.989306760478932,12.160119589319976,1.7298079667154669,6.959375035069492,111.543136038081,7.267777704639878,64.31806714261663,70.24900253722755,1984,11.881250164450318
2041,-3.100954423553583,46.08104903767093,high,electric,1,87.57203113028771,18.35032804548089,17.91922643541427,16.787704761516515,3.073186147471449,0.0,93.60205812524384,9.97965156897376,46.75758621832128,53.69799363530011,2005,6.508802860079598
8668,19.113873490518408,41.197906088089965,low,electric,5,146.80756696966176,15.448155440773988,19.128303789117197,13.633391717154998,2.519892437582389,23.54892694142181,124.75450637800034,4.743144001036739,40.56997451875254,68.00655794361037,2019,22.196774228963257
1114,20.03311896112195,83.10241152493865,low,heatpump,4,98.7952538469858,22.616764507376903,3.649584693557822,10.350284339743055,2.7238892095048284,58.65242569906572,117.4564452364485,6.498324989740683,44.74141717669453,70.37513051503164,1975,26.47549067803119
13902,11.324897201861214,58.92425273143294,low,gas,5,,21.785369072523714,12.913623793922731,16.892840493829787,2.27754489415646,41.546851745677365,112.29932857218894,2.781271940322406,55.43272733599141,64.48691307549116,1982,24.57880539309044
11963,,74.1319924203563,low,gas,3,,16.878652500038633,8.525510447541295,9.935744130596769,1.6407535632165091,23.54514618773858,89.04325721662845,1.2068040883352071,63.065353728405256,47.13900985724377,1960,27.054187754008748
11072,,69.00437321442325,medium,electric,4,97.42688345353471,18.843747902828,18.533237773267665,6.713201536568655,2.309751541629337,26.32028970181122,94.874124468728,3.667124013384322,49.53438221160104,56.40416178001005,2015,26.544077874040457
3002,7.243042351539361,37.15026100058292,medium,electric,1,173.4824250074388,18.947096266772245,9.16574069609539,10.508974936326812,1.332048000850243,23.63958752563484,90.84604961714152,4.415807572964228,53.131299025616336,64.45433860884945,2005,17.90186811001113
19771,-6.383143604060166,38.99363600357023,low,heatpump,3,178.36849913012037,17.4057120778522,4.710471954455105,5.174440019296126,2.360962524132695,18.7702414502183,134.77153584639694,7.907319988353176,59.2153043248126,71.94588731594469,2000,10.252438183723168
8115,14.813770980845078,58.54992508471182,low,electric,5,154.3898836497736,19.212200388148432,10.88752624777712,10.257398012991189,1.618646939273924,51.9364882436988,138.5213585142166,0.827973344736348,43.92135600321512,59.79402579693208,1970,27.63251944685879
3525,14.74620568581982,32.65892753631457,medium,gas,5,82.662495354392,17.976459378357568,21.179121518014394,15.052481070016515,2.265930303038087,55.62715758956129,85.85484547787196,8.245722793892671,48.67367342135295,52.32706801320623,1996,20.030327418601484
7879,15.19775065124523,,medium,electric,3,107.57920667577348,25.863209679199574,16.320560488909877,15.773747547862737,2.251050212574246,2.786282922691385,105.64274971782432,7.322325604297029,63.02751831554132,54.447251304494046,1994,17.06580590304272
16441,6.536945014552229,38.08896585875631,medium,heatpump,1,91.42849770793292,17.917483522146803,12.0862758983045,4.24167706597996,1.5464576534469126,66.66148231326488,66.5966506564186,4.664663981684566,56.66532449915886,54.021449917089015,1968,11.54795605962124
16296,16.403346863321712,83.68626026081907,high,gas,1,137.5824391645923,23.23376541789439,15.512047748725232,10.632017143345836,2.8352638816424944,40.08005493547098,88.45694490342582,0.1033818072161951,56.08052431993107,67.73867630032595,1971,25.58901972735406
12566,5.573840711456173,36.142440716423,medium,heatpump,4,171.94889982455936,22.81233798638994,15.586991570001556,3.562015088048348,2.243402376820494,0.6588480308792839,93.4322597662688,0.3442958038969579,61.27513091861864,68.85721679658899,1996,16.454664262198502
5252,0.9136313048808162,63.47612628944229,medium,gas,3,46.650720942788666,17.45147787522695,15.382507717578653,10.293673510526832,1.921544535553969,19.639359385461773,114.23310412760364,7.514066810389592,63.36661294749769,65.77050006772502,1978,17.72580743230857
19393,14.83616504480666,41.65594107664129,medium,electric,3,60.86439316056015,15.396243310125136,9.54289875235686,8.192138842090763,1.0855352485829337,26.733498539658783,76.41395334065778,9.04516951484595,43.56986102929629,55.09584702053266,1994,15.46529402610471
